tool_name,url,normalized_category,normalized_subcategory,description,pricing,output_type,tags,tags_normalized,example_use_cases,integrations,example_prompt_1,example_prompt_2,example_prompt_3
SageMaker (AWS),https://aws.amazon.com/sagemaker,ml platforms,Training & deployment,"AWS service for building, training and deploying ML models.",Paid,models,"aws,training,deployment","aws,training,deployment",enterprise ML pipelines,AWS,"Use SageMaker (AWS) to solve this task: AWS service for building, training and deploying ML models.",How would I use SageMaker (AWS) to automate a workflow for marketing?,Give me best practices for using SageMaker (AWS) on a real-world project.
DataRobot,https://www.datarobot.com,ml platforms,AutoML,Automated machine learning for enterprises and model deployment.,Paid,models,"automl,enterprise","automl,enterprise","forecasting,modeling",API,Use DataRobot to solve this task: Automated machine learning for enterprises and model deployment.,How would I use DataRobot to automate a workflow for marketing?,Give me best practices for using DataRobot on a real-world project.
H2O.ai,https://www.h2o.ai,ml platforms,AutoML & frameworks,AutoML and model deployment tools (open-source & enterprise).,Open-source / Paid,models,"automl,open-source","automl,open-source",automated modeling,API,Use H2O.ai to solve this task: AutoML and model deployment tools (open-source & enterprise).,How would I use H2O.ai to automate a workflow for marketing?,Give me best practices for using H2O.ai on a real-world project.
Alteryx,https://www.alteryx.com,data & ETL,Data prep & analytics,End-to-end analytics automation and data prep with AI features.,Paid,data,"etl,data-prep,analytics","etl,data-prep,analytics","data pipelines,prep",Integrations,Use Alteryx to solve this task: End-to-end analytics automation and data prep with AI features.,How would I use Alteryx to automate a workflow for marketing?,Give me best practices for using Alteryx on a real-world project.
Tableau,https://www.tableau.com,analytics,BI,Visualization platform often integrated with ML/AI features.,Paid,"data,visual","dashboards,analytics","dashboards,analytics","data viz, insights",Databases,Use Tableau to solve this task: Visualization platform often integrated with ML/AI features.,How would I use Tableau to automate a workflow for marketing?,Give me best practices for using Tableau on a real-world project.
Looker (Google),https://cloud.google.com/looker,analytics,BI & dashboards,Business intelligence and dashboards for data exploration.,Paid,"data,visualization","analytics,bi,dashboards","analytics,bi,dashboards","dashboards,exploration",BigQuery,Use Looker (Google) to solve this task: Business intelligence and dashboards for data exploration.,How would I use Looker (Google) to automate a workflow for marketing?,Give me best practices for using Looker (Google) on a real-world project.
Algolia,https://www.algolia.com,search,Site search & relevance,Search-as-a-service with AI relevance and ranking.,Paid,search,"search,site-search,ranking","search,site-search,ranking","site search,product search",API,Find the top 5 recent papers on multimodal transformers and summarize findings using Algolia,Answer: What are the current best practices for retrieval-augmented generation? Use Algolia,Provide a concise comparison of top LLM providers and their trade-offs using Algolia
Elastic,https://www.elastic.co,search,Search & observability,Search and analytics platform with ML features.,Paid / Open-source,"search,data","search,analytics","search,analytics","log analysis,search",Integrations,Find the top 5 recent papers on multimodal transformers and summarize findings using Elastic,Answer: What are the current best practices for retrieval-augmented generation? Use Elastic,Provide a concise comparison of top LLM providers and their trade-offs using Elastic
Diffbot,https://diffbot.com,data & ETL,Web extraction,AI web scraping and knowledge graph construction.,Paid,data,"scraping,analysis","scraping,analysis",knowledge graphs,API,Use Diffbot to solve this task: AI web scraping and knowledge graph construction.,How would I use Diffbot to automate a workflow for marketing?,Give me best practices for using Diffbot on a real-world project.
Import.io,https://www.import.io,data & ETL,Web extraction,Web data extraction tools for structured data.,Paid,data,"scraping,ingest","scraping,ingest",extract data from websites,API,Use Import.io to solve this task: Web data extraction tools for structured data.,How would I use Import.io to automate a workflow for marketing?,Give me best practices for using Import.io on a real-world project.
Octoparse,https://www.octoparse.com,data & ETL,Web scraping,No-code web scraping platform.,Paid,data,"scraping,automation","scraping,automation",build datasets,Web,Use Octoparse to solve this task: No-code web scraping platform.,How would I use Octoparse to automate a workflow for marketing?,Give me best practices for using Octoparse on a real-world project.
Diffblue,https://www.diffblue.com,developer tools,Code analysis,AI-assisted unit test generation and code analysis.,Paid,code,"testing,analysis","testing,analysis",generate unit tests,Integrations,Generate a Python function that calculates mean-variance portfolio optimization using Diffblue,Refactor this JavaScript code to improve performance and readability using Diffblue,Create unit tests for the following module using Diffblue
Snyk,https://snyk.io,security,Code security,Security tooling for code with AI-assisted scanning.,Paid,alerts,"security,code,scanning","security,code,scanning",vulnerability detection,CI/CD,Use Snyk to solve this task: Security tooling for code with AI-assisted scanning.,How would I use Snyk to automate a workflow for marketing?,Give me best practices for using Snyk on a real-world project.
GitGuardian,https://www.gitguardian.com,security,Secrets detection,Detect exposed secrets in code and repositories.,Paid,alerts,"security,secrets","security,secrets",secret scanning,Integrations,Use GitGuardian to solve this task: Detect exposed secrets in code and repositories.,How would I use GitGuardian to automate a workflow for marketing?,Give me best practices for using GitGuardian on a real-world project.
Adept AI,https://www.adept.ai,agents,AI agents,Interfaces for commanding software via natural language agents.,Paid,text,"agents,automation","agents,automation",task automation,API,Write 5 social media captions for a new coffee shop launch in a friendly tone using Adept AI,Draft a landing page headline and subheadline with 3 variations targeting conversion using Adept AI,Summarize this 1200-word article into a 150-word executive summary using Adept AI
Replit (Ghostwriter),https://replit.com,developer tools,Code generation & IDE,In-browser IDE with AI-assisted coding features.,Free / Paid,code,"ide,coding,collab","ide,coding,collab","pair programming, prototyping",GitHub,Generate a Python function that calculates mean-variance portfolio optimization using Replit (Ghostwriter),Refactor this JavaScript code to improve performance and readability using Replit (Ghostwriter),Create unit tests for the following module using Replit (Ghostwriter)
Notion AI,https://www.notion.so/product/ai,productivity,Notes & writing assistant,"AI features inside Notion for writing, summarizing and brainstorming.",Paid,text,"notes,writing,organization","notes,writing,organization","meeting notes, draft content",Notion,Write 5 social media captions for a new coffee shop launch in a friendly tone using Notion AI,Draft a landing page headline and subheadline with 3 variations targeting conversion using Notion AI,Summarize this 1200-word article into a 150-word executive summary using Notion AI
Mem AI,https://mem.ai,productivity,Knowledge management,AI-powered note-taking and personal knowledge base.,Free / Paid,text,"km,notes,search","km,notes,search",personal knowledge retrieval,Integrations,Write 5 social media captions for a new coffee shop launch in a friendly tone using Mem AI,Draft a landing page headline and subheadline with 3 variations targeting conversion using Mem AI,Summarize this 1200-word article into a 150-word executive summary using Mem AI
Roam Research,https://roamresearch.com,notes & knowledge,Knowledge graph,Note-taking tool focused on networked thought; AI plugins exist.,Paid,text,"notes,knowledge","notes,knowledge","research,writing",Plugins,Write 5 social media captions for a new coffee shop launch in a friendly tone using Roam Research,Draft a landing page headline and subheadline with 3 variations targeting conversion using Roam Research,Summarize this 1200-word article into a 150-word executive summary using Roam Research
Obsidian,https://obsidian.md,notes & knowledge,Knowledge management,Local-first note app with AI plugins and community integrations.,Free / Paid,text,"notes,plugins","notes,plugins",personal knowledge base,Plugins,Write 5 social media captions for a new coffee shop launch in a friendly tone using Obsidian,Draft a landing page headline and subheadline with 3 variations targeting conversion using Obsidian,Summarize this 1200-word article into a 150-word executive summary using Obsidian
Logseq,https://logseq.com,notes & knowledge,Knowledge management,Open-source knowledge management with plugin ecosystem.,Free / Paid,text,"notes,open-source","notes,open-source",personal knowledge,Plugins,Write 5 social media captions for a new coffee shop launch in a friendly tone using Logseq,Draft a landing page headline and subheadline with 3 variations targeting conversion using Logseq,Summarize this 1200-word article into a 150-word executive summary using Logseq
ChatPDF,https://chatpdf.com,Document,PDF Q&A,Ask questions to PDFs via chat interface.,Free / Paid,text,"pdf,qa","pdf,qa",document Q&A,Web,Write 5 social media captions for a new coffee shop launch in a friendly tone using ChatPDF,Draft a landing page headline and subheadline with 3 variations targeting conversion using ChatPDF,Summarize this 1200-word article into a 150-word executive summary using ChatPDF
PDF.ai,https://pdf.ai,Document,PDF Q&A,Chat with PDFs and extract insights.,Paid,text,"pdf,documents","pdf,documents",study assistant,Web,Write 5 social media captions for a new coffee shop launch in a friendly tone using PDF.ai,Draft a landing page headline and subheadline with 3 variations targeting conversion using PDF.ai,Summarize this 1200-word article into a 150-word executive summary using PDF.ai
Scribe,https://scribehow.com,Documentation,Process documentation,Automatically create step-by-step guides and screenshots.,Free / Paid,"text,images","guides,docs,onboarding","guides,docs,onboarding",SOP creation,Chrome extension,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use Scribe,"Generate 5 stylized concept art variations of a futuristic city for a game, using Scribe",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using Scribe
Tome,https://tome.app,presentations,Narrative & slides,AI-first storytelling and presentation tool.,Free / Paid,slides,"storytelling,slides","storytelling,slides",presentation drafts,Integrations,Use Tome to solve this task: AI-first storytelling and presentation tool.,How would I use Tome to automate a workflow for marketing?,Give me best practices for using Tome on a real-world project.
Beautiful.ai,https://www.beautiful.ai,presentations,AI slide creation,AI-assisted slide design and presentation creation.,Free / Paid,slides,"presentations,design","presentations,design",create slide decks quickly,Integrations,Use Beautiful.ai to solve this task: AI-assisted slide design and presentation creation.,How would I use Beautiful.ai to automate a workflow for marketing?,Give me best practices for using Beautiful.ai on a real-world project.
Gamma.app,https://gamma.app,presentations,AI presentation builder,Generate visual presentations from prompts and docs.,Paid,slides,"presentations,ai-generated","presentations,ai-generated","product decks, proposals",Web,Use Gamma.app to solve this task: Generate visual presentations from prompts and docs.,How would I use Gamma.app to automate a workflow for marketing?,Give me best practices for using Gamma.app on a real-world project.
Tactiq,https://tactiq.io,transcription,Meeting notes,Captures meeting transcripts and saves highlights.,Free / Paid,text,"transcription,notes","transcription,notes",meeting capture,Integrations,Write 5 social media captions for a new coffee shop launch in a friendly tone using Tactiq,Draft a landing page headline and subheadline with 3 variations targeting conversion using Tactiq,Summarize this 1200-word article into a 150-word executive summary using Tactiq
FlowGPT,https://flowgpt.com,prompting & prompt ops,Prompts marketplace,Community-generated prompts for LLMs and examples.,Free,text,"prompts,community","prompts,community",LLM prompt sharing,Web,Write 5 social media captions for a new coffee shop launch in a friendly tone using FlowGPT,Draft a landing page headline and subheadline with 3 variations targeting conversion using FlowGPT,Summarize this 1200-word article into a 150-word executive summary using FlowGPT
PromptPerfect,https://promptperfect.jina.ai,prompting & prompt ops,Prompt optimization,Optimize prompts for better LLM outputs.,Paid,text,"prompting,optimization","prompting,optimization",prompt tuning,API,Write 5 social media captions for a new coffee shop launch in a friendly tone using PromptPerfect,Draft a landing page headline and subheadline with 3 variations targeting conversion using PromptPerfect,Summarize this 1200-word article into a 150-word executive summary using PromptPerfect
PromptLayer,https://promptlayer.org,prompting & prompt ops,Monitoring & versioning,Track and version prompts and LLM calls for reproducibility.,Paid / Free,text,"prompt-management,tracking","prompt-management,tracking",prompt analytics,API,Write 5 social media captions for a new coffee shop launch in a friendly tone using PromptLayer,Draft a landing page headline and subheadline with 3 variations targeting conversion using PromptLayer,Summarize this 1200-word article into a 150-word executive summary using PromptLayer
PromptBase,https://promptbase.com,prompting & prompt ops,Marketplace,Marketplace to buy and sell high-quality prompts.,Paid,text,"prompts,marketplace","prompts,marketplace",purchase prompts,Web,Write 5 social media captions for a new coffee shop launch in a friendly tone using PromptBase,Draft a landing page headline and subheadline with 3 variations targeting conversion using PromptBase,Summarize this 1200-word article into a 150-word executive summary using PromptBase
Flowise,https://flowise.ai,low-code orchestration,LLM orchestration,Open-source visual LLM pipeline builder.,Open-source,code,"orchestration,flows","orchestration,flows",build LLM flows,Integrations,Generate a Python function that calculates mean-variance portfolio optimization using Flowise,Refactor this JavaScript code to improve performance and readability using Flowise,Create unit tests for the following module using Flowise
AgentGPT,https://agentgpt.reworkd.ai,agents,Autonomous agents,Create autonomous agents that perform tasks using LLMs.,Free / Paid,text,"agents,automation","agents,automation","task automation,agents",Web,Write 5 social media captions for a new coffee shop launch in a friendly tone using AgentGPT,Draft a landing page headline and subheadline with 3 variations targeting conversion using AgentGPT,Summarize this 1200-word article into a 150-word executive summary using AgentGPT
AutoGPT (community),https://github.com/Significant-Gravitas/Auto-GPT,agents,Autonomous agents,Experimental autonomous LLM agents for workflows.,Open-source,text,"agents,experimental","agents,experimental",automation experiments,Community,Write 5 social media captions for a new coffee shop launch in a friendly tone using AutoGPT (community),Draft a landing page headline and subheadline with 3 variations targeting conversion using AutoGPT (community),Summarize this 1200-word article into a 150-word executive summary using AutoGPT (community)
Runway Gen-2,https://runwayml.com,video tools,Text-to-video & editing,Generative video and image editing models.,Paid,"video,image","video-generation,editing","video-generation,editing",video production,Web,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use Runway Gen-2,"Generate 5 stylized concept art variations of a futuristic city for a game, using Runway Gen-2",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using Runway Gen-2
Kapwing,https://www.kapwing.com,video tools,Online editor,Online video editor with AI tools for subtitles and resizing.,Free / Paid,video,"editing,social,templates","editing,social,templates",short-form video creation,Web,Create a 30-second promotional video script and visuals for a SaaS product using Kapwing,Turn this blog post into a short social video clip with subtitles using Kapwing,Generate a training video with a synthetic presenter explaining onboarding steps using Kapwing
Veed.io,https://www.veed.io,video tools,Editing & subtitles,Online video editor with automatic subtitles and AI tools.,Free / Paid,video,"subtitles,editing,online","subtitles,editing,online","social videos, captions",YouTube,Create a 30-second promotional video script and visuals for a SaaS product using Veed.io,Turn this blog post into a short social video clip with subtitles using Veed.io,Generate a training video with a synthetic presenter explaining onboarding steps using Veed.io
Clipchamp,https://www.clipchamp.com,video tools,Editing,Browser-based video editor with templates and AI features.,Free / Paid,video,"editing,templates","editing,templates",short social videos,Microsoft,Create a 30-second promotional video script and visuals for a SaaS product using Clipchamp,Turn this blog post into a short social video clip with subtitles using Clipchamp,Generate a training video with a synthetic presenter explaining onboarding steps using Clipchamp
InVideo,https://invideo.io,video tools,Templates & editing,Template-focused video creation for marketers.,Free / Paid,video,"templates,marketing","templates,marketing","promo videos, ads",Stock libraries,Create a 30-second promotional video script and visuals for a SaaS product using InVideo,Turn this blog post into a short social video clip with subtitles using InVideo,Generate a training video with a synthetic presenter explaining onboarding steps using InVideo
Kapwing (repeat),https://www.kapwing.com,video tools,Online editor,(repeat removed if duplicate),Free / Paid,video,"editing,social","editing,social",short-form video,Web,Create a 30-second promotional video script and visuals for a SaaS product using Kapwing (repeat),Turn this blog post into a short social video clip with subtitles using Kapwing (repeat),Generate a training video with a synthetic presenter explaining onboarding steps using Kapwing (repeat)
Hotpot.ai,https://hotpot.ai,design tools,Image tools,"AI tools for graphics, upscaling and backgrounds.",Free / Paid,image,"design,upscale","design,upscale","social assets,enhance images",Web,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use Hotpot.ai,"Generate 5 stylized concept art variations of a futuristic city for a game, using Hotpot.ai",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using Hotpot.ai
NightCafe Studio,https://creator.nightcafe.studio,generative art,Text-to-image,Community-focused image generation platform.,Free / Paid,image,"art,community","art,community",art generation,Web,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use NightCafe Studio,"Generate 5 stylized concept art variations of a futuristic city for a game, using NightCafe Studio",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using NightCafe Studio
Artbreeder,https://www.artbreeder.com,generative art,Image blending,Blend and evolve images using AI.,Free / Paid,image,"blend,creative","blend,creative","character design,concepts",Web,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use Artbreeder,"Generate 5 stylized concept art variations of a futuristic city for a game, using Artbreeder",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using Artbreeder
Dream by WOMBO,https://www.wombo.art,generative art,Text-to-image,Mobile-friendly image generation app.,Free / Paid,image,"mobile,art","mobile,art",quick art generation,Mobile,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use Dream by WOMBO,"Generate 5 stylized concept art variations of a futuristic city for a game, using Dream by WOMBO",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using Dream by WOMBO
Fotor,https://www.fotor.com,design tools,Image editing,Online photo editor with AI tools.,Free / Paid,image,"editing,templates","editing,templates","photo edits,collages",Web,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use Fotor,"Generate 5 stylized concept art variations of a futuristic city for a game, using Fotor",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using Fotor
Pixlr,https://pixlr.com,design tools,Photo editor,Online photo editor with AI enhancements.,Free / Paid,image,"editing,filters","editing,filters",photo retouch,Web,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use Pixlr,"Generate 5 stylized concept art variations of a futuristic city for a game, using Pixlr",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using Pixlr
Picsart,https://picsart.com,design tools,Image editing & effects,Creative editing tools and AI effects.,Free / Paid,image,"filters,effects","filters,effects",social assets,Mobile,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use Picsart,"Generate 5 stylized concept art variations of a futuristic city for a game, using Picsart",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using Picsart
Remove.bg,https://remove.bg,design tools,Background removal,Automatic background removal for images.,Free / Paid,image,"editing,background-removal","editing,background-removal",product photos,API,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use Remove.bg,"Generate 5 stylized concept art variations of a futuristic city for a game, using Remove.bg",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using Remove.bg
ClipDrop,https://clipdrop.co,design tools,Image enhancement,"Image cleanup, relighting and upscaling tools.",Free / Paid,image,"upscale,clean","upscale,clean",image fix,API,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use ClipDrop,"Generate 5 stylized concept art variations of a futuristic city for a game, using ClipDrop",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using ClipDrop
LetsEnhance.io,https://letsenhance.io,design tools,Upscaling,Upscale and improve image quality using AI.,Paid,image,"upscale,enhance","upscale,enhance",photo restoration,Web,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use LetsEnhance.io,"Generate 5 stylized concept art variations of a futuristic city for a game, using LetsEnhance.io",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using LetsEnhance.io
Upscale.media,https://upscale.media,design tools,Image upscaling,AI-powered image upscaling service.,Free / Paid,image,upscale,upscale,enhance images,Web,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use Upscale.media,"Generate 5 stylized concept art variations of a futuristic city for a game, using Upscale.media",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using Upscale.media
Deep Dream Generator,https://deepdreamgenerator.com,generative art,Neural art,Generate surreal images using neural networks.,Free / Paid,image,"dream,art","dream,art",creative art,Web,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use Deep Dream Generator,"Generate 5 stylized concept art variations of a futuristic city for a game, using Deep Dream Generator",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using Deep Dream Generator
PaintsChainer,https://paintschainer.preferred.tech,generative art,Auto-coloring,Automatic manga/anime coloring with AI.,Free / Paid,image,"coloring,anime","coloring,anime",art finishing,Web,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use PaintsChainer,"Generate 5 stylized concept art variations of a futuristic city for a game, using PaintsChainer",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using PaintsChainer
Reface,https://reface.app,video tools,Face swap,Swap faces in videos and GIFs using AI.,Free / Paid,"video,image","face-swap,entertainment","face-swap,entertainment","social,fun",Mobile,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use Reface,"Generate 5 stylized concept art variations of a futuristic city for a game, using Reface",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using Reface
DeepFaceLab,https://github.com/iperov/DeepFaceLab,search,Deepfake toolkit,Open-source deepfake creation toolkit for research.,Free,video,"face-swap,research","face-swap,research","research,experiments",Community,Create a 30-second promotional video script and visuals for a SaaS product using DeepFaceLab,Turn this blog post into a short social video clip with subtitles using DeepFaceLab,Generate a training video with a synthetic presenter explaining onboarding steps using DeepFaceLab
Soundful,https://soundful.com,audio tools,Music generation,AI-generated music for creators.,Paid,audio,music,music,"background tracks,ads",Web,Generate a 60-second podcast intro voiceover in an energetic tone using Soundful,Synthesise a 2-minute narration for an explainer video from this script using Soundful,Create a multivoice dialogue sample for a game scene using Soundful
Boomy,https://boomy.com,audio tools,Music generation,Create songs with AI and distribute to streaming platforms.,Free / Paid,audio,"music,distribution","music,distribution",music creation,Web,Generate a 60-second podcast intro voiceover in an energetic tone using Boomy,Synthesise a 2-minute narration for an explainer video from this script using Boomy,Create a multivoice dialogue sample for a game scene using Boomy
Endel,https://endel.io,audio tools,Soundscapes,Personalized soundscapes powered by AI.,Paid,audio,"soundscapes,wellness","soundscapes,wellness",focus and sleep,Apps,Generate a 60-second podcast intro voiceover in an energetic tone using Endel,Synthesise a 2-minute narration for an explainer video from this script using Endel,Create a multivoice dialogue sample for a game scene using Endel
Auphonic,https://auphonic.com,audio tools,Post-production,Automated audio leveling and post-production.,Paid,audio,post-production,post-production,podcast mastering,Web,Generate a 60-second podcast intro voiceover in an energetic tone using Auphonic,Synthesise a 2-minute narration for an explainer video from this script using Auphonic,Create a multivoice dialogue sample for a game scene using Auphonic
Hotjar,https://hotjar.com,Product,User research,Session recordings and heatmaps with some AI analytics.,Paid,data,"behavior,analytics","behavior,analytics",user insights,Integrations,Use Hotjar to solve this task: Session recordings and heatmaps with some AI analytics.,How would I use Hotjar to automate a workflow for marketing?,Give me best practices for using Hotjar on a real-world project.
Amplitude,https://amplitude.com,analytics,Product analytics,Product analytics platform with behavioral insights.,Paid,data,"product,analytics","product,analytics",user behavior analysis,Integrations,Use Amplitude to solve this task: Product analytics platform with behavioral insights.,How would I use Amplitude to automate a workflow for marketing?,Give me best practices for using Amplitude on a real-world project.
Mixpanel,https://mixpanel.com,analytics,Event analytics,Event-based analytics for product metrics.,Paid,data,"analytics,events","analytics,events","user events, funnels",Integrations,Use Mixpanel to solve this task: Event-based analytics for product metrics.,How would I use Mixpanel to automate a workflow for marketing?,Give me best practices for using Mixpanel on a real-world project.
PostHog,https://posthog.com,analytics,Product analytics,Open-source product analytics with event tracking.,Open-source / Paid,data,"analytics,product","analytics,product",event analytics,Integrations,Use PostHog to solve this task: Open-source product analytics with event tracking.,How would I use PostHog to automate a workflow for marketing?,Give me best practices for using PostHog on a real-world project.
Google Analytics (GA4),https://analytics.google.com,analytics,Web analytics,Web analytics with machine learning insights.,Free / Paid,data,"analytics,web","analytics,web",traffic analysis,Integrations,Use Google Analytics (GA4) to solve this task: Web analytics with machine learning insights.,How would I use Google Analytics (GA4) to automate a workflow for marketing?,Give me best practices for using Google Analytics (GA4) on a real-world project.
Buffer,https://buffer.com,marketing,Social scheduling,Social media scheduling with AI features.,Free / Paid,text,"social,scheduling","social,scheduling",post scheduling,Integrations,Write 5 social media captions for a new coffee shop launch in a friendly tone using Buffer,Draft a landing page headline and subheadline with 3 variations targeting conversion using Buffer,Summarize this 1200-word article into a 150-word executive summary using Buffer
Hootsuite,https://hootsuite.com,marketing,Social management,Social media management and analytics.,Paid,text,"social,analytics","social,analytics",social management,Integrations,Write 5 social media captions for a new coffee shop launch in a friendly tone using Hootsuite,Draft a landing page headline and subheadline with 3 variations targeting conversion using Hootsuite,Summarize this 1200-word article into a 150-word executive summary using Hootsuite
Later,https://later.com,marketing,Social scheduling,Visual social media planner.,Free / Paid,"text,image","social,planning","social,planning",instagram scheduling,Integrations,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use Later,"Generate 5 stylized concept art variations of a futuristic city for a game, using Later",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using Later
